epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8458608984947205,0.1145695149898529,0.6603617072105408,1e-04,0.07882777601480484,0.003509744768962264,0.8279428482055664,0.11689775437116623,0.590948224067688,0.09241622686386108,0.0014714389108121395
1,0.8445613980293274,0.08703580498695374,0.5232100486755371,1e-04,0.057662490755319595,0.000960387522354722,0.8301448822021484,0.09333343803882599,0.48625051975250244,0.13846154510974884,5.054561188444495e-05
2,0.8490849733352661,0.07897362112998962,0.43777334690093994,1e-04,0.1617647111415863,4.675674790632911e-05,0.8301820755004883,0.10296782851219177,0.4493286609649658,0.09090909361839294,5.616178896161728e-06
3,0.8484929203987122,0.08642108738422394,0.4126538932323456,1e-04,0.1525423675775528,1.270016855414724e-05,0.8301849365234375,0.08211170881986618,0.4352501630783081,0.0,0.0
4,0.8487065434455872,0.08712413161993027,0.39152494072914124,1e-04,0.054794520139694214,2.826205900419154e-06,0.8301916122436523,0.0917351096868515,0.41438961029052734,0.0,0.0
5,0.8474817872047424,0.09593277424573898,0.37591463327407837,1e-04,0.0,0.0,0.8301916122436523,0.11995947360992432,0.39405977725982666,0.0,0.0
6,0.8482335805892944,0.10743136703968048,0.35833272337913513,1e-04,0.0,0.0,0.8301916122436523,0.1307312399148941,0.3648074269294739,0.0,0.0
7,0.8497531414031982,0.1300540417432785,0.32899582386016846,1e-04,0.0,0.0,0.8301916122436523,0.13451017439365387,0.3454113006591797,0.0,0.0
8,0.848501980304718,0.15095745027065277,0.30138257145881653,1e-04,0.0,0.0,0.8301916122436523,0.18141034245491028,0.2994726300239563,0.0,0.0
9,0.8516283631324768,0.18125790357589722,0.26644155383110046,1e-04,0.0,0.0,0.8301916122436523,0.2097664475440979,0.27306073904037476,0.0,0.0
10,0.8497092127799988,0.21197941899299622,0.2461213767528534,1e-04,1.0,7.112319622137875e-07,0.8301916122436523,0.23057642579078674,0.2612101435661316,0.0,0.0
11,0.8468518853187561,0.238128662109375,0.2334500104188919,1e-04,0.9375,1.0469340850249864e-05,0.8302116394042969,0.26831138134002686,0.23492306470870972,0.9259259104728699,0.0001404044742230326
12,0.8530865907669067,0.26086142659187317,0.2195654809474945,1e-04,0.934448778629303,0.03495157137513161,0.8382673263549805,0.28522685170173645,0.22894112765789032,0.9240609407424927,0.05720078572630882
